2023-12-16 15:26:49 install libunistring2:amd64 <none> 1.0-2
2023-12-16 15:26:49 status half-installed libunistring2:amd64 1.0-2
2023-12-16 15:26:49 status unpacked libunistring2:amd64 1.0-2
2023-12-16 15:26:49 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-12-16 15:26:49 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:26:49 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:26:50 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:26:50 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:26:50 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2023-12-16 15:26:50 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2023-12-16 15:26:51 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2023-12-16 15:26:52 install libstdc++6:amd64 <none> 12.2.0-14
2023-12-16 15:26:52 status half-installed libstdc++6:amd64 12.2.0-14
2023-12-16 15:26:53 status unpacked libstdc++6:amd64 12.2.0-14
2023-12-16 15:26:53 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-12-16 15:26:53 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-12-16 15:26:54 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-12-16 15:26:54 install libsystemd0:amd64 <none> 252.19-1~deb12u1
2023-12-16 15:26:54 status half-installed libsystemd0:amd64 252.19-1~deb12u1
2023-12-16 15:26:55 status unpacked libsystemd0:amd64 252.19-1~deb12u1
2023-12-16 15:26:55 install libudev1:amd64 <none> 252.19-1~deb12u1
2023-12-16 15:26:55 status half-installed libudev1:amd64 252.19-1~deb12u1
2023-12-16 15:26:56 status unpacked libudev1:amd64 252.19-1~deb12u1
2023-12-16 15:26:56 install libxxhash0:amd64 <none> 0.8.1-1
2023-12-16 15:26:56 status half-installed libxxhash0:amd64 0.8.1-1
2023-12-16 15:26:57 status unpacked libxxhash0:amd64 0.8.1-1
2023-12-16 15:26:57 install libtasn1-6:amd64 <none> 4.19.0-2
2023-12-16 15:26:57 status half-installed libtasn1-6:amd64 4.19.0-2
2023-12-16 15:26:58 status unpacked libtasn1-6:amd64 4.19.0-2
2023-12-16 15:26:58 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-12-16 15:26:58 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-12-16 15:26:58 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-12-16 15:26:58 install libselinux1:amd64 <none> 3.4-1+b6
2023-12-16 15:26:58 status half-installed libselinux1:amd64 3.4-1+b6
2023-12-16 15:26:59 status unpacked libselinux1:amd64 3.4-1+b6
2023-12-16 15:26:59 install tar:amd64 <none> 1.34+dfsg-1.2
2023-12-16 15:26:59 status half-installed tar:amd64 1.34+dfsg-1.2
2023-12-16 15:27:00 status unpacked tar:amd64 1.34+dfsg-1.2
2023-12-16 15:27:00 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
